tanaman,ketinggian,hujan,temperatur
cabai,355,1132,27
kentang,1881,2834,20
bayam,257,1155,28
cabai,1208,1723,23
bayam,1821,1701,28
cabai,1080,1925,25
bayam,1139,1924,21
bayam,223,1754,20
bayam,365,1529,28
jambu air,411,1874,24
jambu air,435,2095,11
bayam,869,1953,23
bayam,1295,1888,27
bayam,274,1125,20
jambu air,414,1197,25
kentang,2092,3040,17
stroberi,1437,616,17
bayam,1188,1772,20
cabai,1161,1095,18
cabai,158,1894,24
stroberi,1321,631,19
stroberi,1108,608,19
kentang,1232,2763,13
stroberi,1492,651,18
kentang,503,2551,13
bayam,1833,1113,30
cabai,985,1431,28
kentang,2507,3284,15
jambu air,429,1650,20
cabai,879,1646,22
kentang,303,3251,14
cabai,1128,1802,22
jambu air,60,2735,21
jambu air,272,1156,13
jambu air,66,2438,12
kentang,1559,2820,19
cabai,777,1282,19
stroberi,1449,607,17
stroberi,1259,601,17
stroberi,1326,623,18
stroberi,1137,686,17
kentang,1873,2802,22
cabai,240,1789,20
bayam,1737,1606,23
kentang,989,2796,16
kentang,1479,2510,22
cabai,449,1578,28
cabai,120,1567,25
kentang,1350,3355,17
bayam,1190,1387,25
jambu air,63,2800,23
stroberi,1338,608,18
cabai,470,1524,30
bayam,1858,1934,29
jambu air,224,764,19
stroberi,1439,631,18
cabai,452,1225,24
bayam,1020,1700,29
kentang,397,2801,19
jambu air,323,589,18
stroberi,1349,652,19
stroberi,1112,674,20
stroberi,1178,651,17
kentang,2007,3210,19
stroberi,1326,642,19
stroberi,1492,677,18
bayam,689,1120,29
jambu air,354,2425,26
kentang,1360,3078,23
cabai,1126,1632,29
kentang,1251,3417,13
cabai,1018,1361,21
bayam,1412,1902,29
bayam,586,1471,23
kentang,1573,3005,22
cabai,1220,1688,22
kentang,2166,3426,19
stroberi,1492,632,17
kentang,2379,3090,22
jambu air,281,626,16
cabai,65,1217,23
bayam,786,1725,23
kentang,1971,2549,24
jambu air,257,2409,20
stroberi,1035,655,19
cabai,837,1264,23
cabai,1099,1617,24
stroberi,1487,680,19
cabai,653,1571,23
cabai,886,1514,25
cabai,1368,1389,30
kentang,1873,3242,15
cabai,865,1610,24
kentang,438,2619,14
jambu air,63,2220,20
stroberi,1174,611,19
jambu air,300,2070,21
stroberi,1426,618,20
jambu air,211,2184,19
cabai,1160,1514,20
jambu air,106,2606,18
kentang,1258,3137,24
cabai,1352,862,27
stroberi,1067,625,17
bayam,1835,1016,21
cabai,743,1924,28
stroberi,1267,698,17
bayam,1909,1682,23
jambu air,337,877,17
bayam,195,1072,28
bayam,1449,1511,27
kentang,2100,3578,14
bayam,1508,1259,28
jambu air,459,779,22
stroberi,1310,647,17
stroberi,1319,683,19
cabai,908,1315,27
kentang,1738,2800,19
bayam,1287,1378,28
kentang,2742,2942,24
kentang,2582,3399,15
jambu air,147,2703,15
cabai,557,1213,22
kentang,518,2658,18
bayam,1081,1337,28
kentang,2167,3454,16
cabai,603,1129,20
stroberi,1264,675,20
cabai,408,1202,23
stroberi,1332,619,17
cabai,422,1163,30
cabai,69,1854,20
cabai,1265,885,21
cabai,257,1081,29
kentang,803,2966,21
kentang,396,3156,17
jambu air,260,2266,15
stroberi,1416,650,19
jambu air,64,1392,15
kentang,2374,3402,15
stroberi,1243,616,20
jambu air,310,2164,19
cabai,252,1564,19
cabai,299,1074,26
kentang,2881,2699,15
jambu air,11,779,17
jambu air,175,1626,11
kentang,2066,2566,22
cabai,720,1886,23
stroberi,1279,617,17
stroberi,1343,633,19
jambu air,376,2643,24
cabai,20,1174,26
jambu air,270,2793,18
jambu air,443,2513,19
jambu air,140,2161,15
stroberi,1313,671,17
jambu air,229,868,21
jambu air,262,2426,16
jambu air,380,2315,11
jambu air,498,2024,18
kentang,2675,2574,16
cabai,588,1180,22
kentang,2645,2554,19
stroberi,1496,698,17
jambu air,434,2722,23
jambu air,152,1677,23
kentang,671,3090,18
stroberi,1298,651,19
bayam,1111,1951,20
stroberi,1006,657,17
stroberi,1342,611,17
jambu air,213,1704,14
bayam,975,1294,22
kentang,1999,3427,17
kentang,2690,2713,13
bayam,1195,1048,26
stroberi,1117,638,17
kentang,967,2553,15
kentang,1155,3303,19
cabai,577,1939,20
jambu air,422,1626,14
cabai,486,1893,28
kentang,639,2460,17
stroberi,1328,699,20
kentang,548,3180,21
kentang,2986,2412,14
bayam,921,1216,22
stroberi,1500,681,19
kentang,2449,2860,23
bayam,482,1021,28
bayam,117,1096,25
jambu air,225,524,27
stroberi,1084,680,18
bayam,1369,1907,22
cabai,396,1197,21
jambu air,75,2971,18
cabai,216,1726,18
cabai,1247,1700,29
stroberi,1329,633,17
stroberi,1252,652,18
cabai,332,999,24
cabai,1092,1472,27
jambu air,400,1410,18
kentang,1496,3172,23
kentang,601,3233,13
cabai,770,844,19
stroberi,1363,613,19
stroberi,1444,634,18
bayam,1857,1873,30
bayam,1907,1584,27
jambu air,173,911,17
jambu air,217,1102,24
cabai,1357,1296,30
jambu air,131,2181,14
bayam,1900,1121,25
cabai,162,1122,22
jambu air,102,779,16
jambu air,172,1648,19
stroberi,1009,600,19
cabai,1027,1677,24
jambu air,246,2386,19
kentang,2925,2434,21
cabai,77,1223,22
stroberi,1423,640,20
stroberi,1250,692,18
jambu air,205,2408,10
kentang,2826,2610,17
cabai,210,1968,21
kentang,2058,2464,20
bayam,246,1792,22
cabai,283,1030,28
bayam,244,1509,24
bayam,1983,1582,22
stroberi,1077,629,17
stroberi,1235,652,19
cabai,506,1395,26
cabai,957,1715,24
jambu air,33,1246,19
stroberi,1288,603,18
jambu air,424,1996,26
cabai,555,1957,18
jambu air,63,1503,22
kentang,953,3561,16
kentang,949,3075,18
jambu air,295,2383,13
cabai,489,1240,24
kentang,1932,2574,15
cabai,1040,1637,20
cabai,979,1183,30
stroberi,1280,662,18
cabai,821,1861,27
jambu air,39,2679,27
jambu air,98,1702,26
jambu air,51,1715,28
jambu air,354,908,13
bayam,106,1699,20
jambu air,358,1749,16
cabai,1223,1574,25
stroberi,1272,678,19
kentang,2911,2989,13
bayam,514,1821,29
kentang,2799,3179,14
cabai,1299,1950,19
stroberi,1479,692,18
stroberi,1336,631,17
bayam,470,1252,21
stroberi,1231,609,17
cabai,320,1242,22
jambu air,331,2765,28
jambu air,75,1265,18
jambu air,299,2122,17
stroberi,1336,694,17
stroberi,1231,675,18
kentang,1343,3247,18
cabai,1139,845,19
cabai,357,1602,29
jambu air,297,2800,18
kentang,2006,3176,19
jambu air,190,2608,19
cabai,380,1390,28
cabai,991,1049,24
jambu air,226,1848,10
bayam,1848,1284,28
kentang,1928,2777,21
kentang,2342,2619,19
cabai,1023,1860,21
kentang,1684,2731,23
kentang,2428,3163,19
kentang,906,2457,22
cabai,466,1064,22
kentang,458,3426,20
bayam,548,1981,29
kentang,2467,3425,20
jambu air,76,2491,23
cabai,573,1380,27
stroberi,1250,616,19
bayam,183,1128,28
bayam,249,1725,24
jambu air,294,1879,26
bayam,1601,1191,21
kentang,586,2676,19
kentang,1860,2588,24
bayam,990,1934,21
jambu air,8,1220,13
kentang,2663,2482,24
bayam,1454,1381,26
stroberi,1489,605,18
bayam,1210,1218,28
cabai,1142,1248,20
stroberi,1468,603,18
bayam,1357,1373,21
kentang,984,3018,24
kentang,2442,2621,23
jambu air,95,1658,15
bayam,53,1258,25
kentang,2437,2511,15
stroberi,1124,600,19
kentang,2978,3008,23
cabai,929,1073,22
bayam,1569,1017,30
jambu air,456,1231,13
kentang,2553,2400,19
bayam,978,1501,21
stroberi,1098,681,20
stroberi,1270,665,20
jambu air,136,2989,12
bayam,776,1147,28
jambu air,484,1443,25
stroberi,1185,697,20
bayam,1424,1798,25
cabai,606,1881,30
bayam,862,1260,22
stroberi,1008,640,19
stroberi,1159,657,17
kentang,1125,3401,21
cabai,46,1980,28
jambu air,383,2990,23
kentang,1884,2907,23
stroberi,1394,684,18
stroberi,1107,689,17
bayam,1644,1552,24
stroberi,1431,605,20
stroberi,1167,700,18
kentang,2109,2813,24
stroberi,1381,659,18
kentang,1663,2570,14
bayam,561,1999,24
cabai,800,1300,23
kentang,1915,2790,16
stroberi,1370,642,17
stroberi,1443,681,18
stroberi,1283,635,18
stroberi,1242,615,19
stroberi,1452,645,19
jambu air,491,1086,25
cabai,16,1745,25
cabai,1286,1541,21
jambu air,84,2951,23
kentang,2413,3418,17
kentang,2114,2988,21
jambu air,495,684,18
jambu air,333,1811,18
bayam,812,1886,28
cabai,661,1721,25
jambu air,200,2201,27
stroberi,1228,614,19
kentang,496,3542,18
jambu air,392,1017,17
cabai,1305,1741,30
jambu air,108,1435,11
bayam,1840,1460,25
kentang,2649,2897,16
kentang,760,2401,23
bayam,1626,1283,24
stroberi,1447,631,17
cabai,207,1349,22
jambu air,166,738,28
stroberi,1489,687,19
jambu air,322,1679,23
bayam,652,1958,27
stroberi,1330,605,18
kentang,1334,3141,14
bayam,939,1887,30
bayam,833,1903,24
jambu air,123,972,14
kentang,2044,2870,17
kentang,594,3257,20
bayam,783,1519,26
bayam,1939,1913,26
bayam,269,1853,22
bayam,422,1870,22
stroberi,1149,644,17
jambu air,130,1236,28
bayam,569,1347,28
stroberi,1485,677,20
kentang,420,2532,19
kentang,1802,3398,24
bayam,1047,1364,27
jambu air,164,1524,28
bayam,1174,1697,26
bayam,1874,1284,20
stroberi,1124,625,19
jambu air,425,2516,10
stroberi,1489,638,18
kentang,1548,3207,18
jambu air,345,1651,12
stroberi,1067,661,19
jambu air,337,1286,15
jambu air,152,2977,23
jambu air,225,1935,15
bayam,183,1615,20
stroberi,1220,626,17
bayam,1198,1082,29
stroberi,1031,626,19
cabai,1051,1082,29
jambu air,306,718,13
stroberi,1216,648,20
jambu air,284,717,18
jambu air,188,2883,19
bayam,590,1340,24
cabai,1024,1941,21
cabai,48,910,21
jambu air,233,2955,25
bayam,870,1696,29
kentang,1902,3001,23
jambu air,192,772,24
jambu air,38,541,28
kentang,1213,3578,21
jambu air,380,1904,14
stroberi,1050,675,17
jambu air,445,787,14
stroberi,1370,689,20
cabai,729,1482,18
stroberi,1326,606,19
stroberi,1226,692,17
kentang,2222,3303,21
cabai,845,1052,22
jambu air,267,2040,28
kentang,364,3431,20
jambu air,109,2986,28
cabai,477,1309,28
cabai,1030,1920,23
kentang,403,3147,23
cabai,300,1575,27
jambu air,110,1178,25
kentang,1142,3105,13
jambu air,218,1589,16
cabai,1168,1360,30
stroberi,1113,658,18
kentang,2414,3448,14
kentang,514,2942,23
bayam,499,1937,23
bayam,857,1704,24
cabai,312,1736,18
cabai,508,1306,25
cabai,678,1903,25
cabai,221,1324,27
cabai,982,1958,28
jambu air,414,649,12
jambu air,156,1205,20
jambu air,358,2045,20
jambu air,266,1789,13
kentang,1168,2879,22
jambu air,462,1610,28
stroberi,1376,615,20
kentang,631,3108,13
bayam,814,1247,23
kentang,1869,2647,18
jambu air,102,746,17
kentang,1163,2816,18
kentang,396,3221,22
kentang,1607,2814,14
cabai,333,801,24
bayam,461,1092,28
jambu air,89,1186,24
cabai,706,1186,24
stroberi,1000,644,18
jambu air,94,764,25
jambu air,183,2803,19
bayam,579,1242,25
kentang,2924,2907,24
cabai,153,1401,21
jambu air,460,522,25
jambu air,223,2434,13
bayam,88,1824,22
jambu air,171,2517,11
jambu air,479,609,28
stroberi,1195,616,18
stroberi,1339,632,17
stroberi,1474,630,18
cabai,357,1591,28
cabai,582,1532,21
kentang,1465,2493,20
jambu air,127,2549,17
kentang,1792,2776,14
kentang,673,3126,23
jambu air,182,1714,22
kentang,1167,3172,22
cabai,533,832,30
bayam,1382,1460,25
bayam,1593,1486,21
jambu air,391,2509,25
bayam,783,1612,22
kentang,1748,3284,24
stroberi,1381,653,17
cabai,917,962,19
cabai,994,823,28
jambu air,17,1680,25
bayam,590,1754,24
stroberi,1013,640,19
jambu air,46,1525,16
jambu air,133,935,24
cabai,38,1142,18
jambu air,129,1414,10
stroberi,1083,638,18
stroberi,1371,699,20
bayam,569,1790,22
jambu air,107,2874,13
jambu air,494,827,20
bayam,1090,1334,23
bayam,917,1703,26
cabai,659,1040,29
stroberi,1102,612,19
kentang,2503,2702,21
jambu air,407,1710,25
bayam,1714,1819,22
bayam,302,1276,24
kentang,971,3327,14
stroberi,1262,666,17
cabai,1355,1280,27
bayam,573,1277,25
bayam,437,1067,21
kentang,1333,2578,14
cabai,1251,859,24
stroberi,1047,692,17
kentang,663,2638,14
kentang,1078,2457,21
bayam,1448,1226,29
cabai,619,1475,19
stroberi,1005,629,17
kentang,2465,3319,24
jambu air,361,1791,23
bayam,673,1810,26
bayam,1499,1032,30
stroberi,1331,688,19
kentang,2017,3099,15
bayam,244,1695,30
kentang,1950,2831,14
kentang,956,2560,16
stroberi,1114,613,17
kentang,1708,3577,18
cabai,772,1232,28
cabai,990,1394,25
stroberi,1059,683,18
cabai,290,1649,30
stroberi,1024,659,19
cabai,710,1295,29
cabai,937,1003,22
cabai,753,1193,22
stroberi,1141,662,17
stroberi,1105,645,20
kentang,860,3117,13
jambu air,63,2388,25
bayam,1928,1141,22
bayam,1218,1794,30
bayam,1086,1099,30
bayam,2000,1321,26
cabai,184,1223,27
jambu air,347,1582,15
stroberi,1336,678,18
jambu air,106,1096,20
stroberi,1259,694,19
kentang,381,3472,24
bayam,602,1927,28
cabai,1005,1814,26
bayam,141,1469,23
bayam,1892,1383,26
kentang,607,2898,24
stroberi,1195,692,17
bayam,603,1744,29
jambu air,193,1222,12
jambu air,348,2533,25
jambu air,273,687,23
bayam,1187,1886,22
bayam,1972,1984,28
stroberi,1243,686,20
kentang,2397,2944,24
bayam,857,1479,26
stroberi,1021,619,19
bayam,602,1718,30
kentang,923,2719,17
stroberi,1415,632,18
cabai,1118,869,19
jambu air,201,2962,14
jambu air,144,2307,15
stroberi,1170,696,20
stroberi,1234,694,20
jambu air,284,1871,17
kentang,1954,3386,13
stroberi,1009,696,20
kentang,2762,3299,21
kentang,2128,3600,24
jambu air,400,824,28
kentang,2384,3489,23
kentang,2923,2635,23
jambu air,22,738,26
jambu air,138,1984,11
jambu air,268,852,28
stroberi,1223,627,19
jambu air,384,1657,19
stroberi,1418,660,19
bayam,1466,1366,28
kentang,1686,3027,13
cabai,473,1463,30
jambu air,201,2183,13
cabai,1319,1061,26
stroberi,1087,683,20
stroberi,1043,664,18
cabai,578,1082,28
bayam,1101,1918,29
bayam,1848,1993,21
cabai,781,1553,26
kentang,1222,2430,14
bayam,1491,1037,22
jambu air,494,870,20
bayam,1507,1360,24
kentang,2733,3017,23
jambu air,182,2423,28
kentang,2514,2929,16
stroberi,1109,626,18
bayam,1990,1756,23
cabai,797,1887,18
kentang,2837,2550,18
jambu air,487,2765,28
jambu air,52,2742,11
bayam,680,1944,29
kentang,1770,3463,17
bayam,1202,1573,26
jambu air,12,2789,27
bayam,1831,1004,23
cabai,683,1468,28
cabai,1392,1236,22
jambu air,419,1924,12
bayam,125,1276,29
jambu air,154,2936,14
jambu air,185,2617,10
stroberi,1498,608,20
cabai,1330,1969,30
bayam,1757,1288,27
cabai,1312,1749,27
cabai,382,1617,19
stroberi,1175,616,20
bayam,1943,1207,28
bayam,801,1221,28
cabai,433,1811,22
bayam,1429,1531,21
cabai,1269,1762,29
jambu air,377,628,12
bayam,1617,1729,24
cabai,912,806,27
cabai,447,1973,30
jambu air,494,2265,16
bayam,1260,1501,21
stroberi,1024,640,18
jambu air,73,800,23
cabai,216,1685,28
stroberi,1264,668,19
cabai,530,964,18
stroberi,1213,640,19
cabai,383,1715,20
bayam,995,1265,21
stroberi,1437,614,19
kentang,2028,2520,21
stroberi,1117,603,17
kentang,1604,3273,13
cabai,1039,1972,21
kentang,1732,3583,15
bayam,50,1504,22
kentang,753,3190,21
kentang,1991,3517,13
stroberi,1412,625,18
jambu air,500,2678,18
bayam,1510,1803,30
stroberi,1082,685,19
jambu air,400,2020,26
stroberi,1031,644,19
cabai,684,1761,29
kentang,2151,2966,19
kentang,2585,3358,15
bayam,878,1142,28
jambu air,283,586,15
bayam,462,1254,24
kentang,719,2857,24
cabai,48,1624,27
kentang,671,3164,23
cabai,948,838,19
cabai,405,1891,27
stroberi,1169,653,19
bayam,1482,1274,30
stroberi,1364,695,19
stroberi,1453,661,17
bayam,118,1300,23
stroberi,1278,686,18
kentang,974,2693,24
jambu air,379,767,15
jambu air,321,606,21
jambu air,231,2555,24
bayam,1946,1853,24
stroberi,1021,655,20
jambu air,379,2217,20
cabai,180,1035,22
bayam,1400,1985,28
bayam,703,1718,22
kentang,1587,2721,20
jambu air,76,2775,17
stroberi,1402,696,17
cabai,491,1262,30
jambu air,391,584,28
cabai,928,1861,19
cabai,1215,1777,22
cabai,28,924,23
stroberi,1131,614,17
cabai,265,1507,29
bayam,1536,1136,25
stroberi,1465,608,18
kentang,435,2988,24
jambu air,28,2181,10
jambu air,418,1702,26
kentang,977,2669,18
kentang,2537,3489,20
kentang,561,3584,16
kentang,646,3152,17
stroberi,1034,689,17
bayam,210,1341,27
jambu air,113,501,21
cabai,417,1432,19
stroberi,1465,600,20
bayam,1569,1424,29
cabai,358,1192,27
jambu air,78,556,26
bayam,806,1163,23
kentang,2908,3236,18
jambu air,362,1426,26
bayam,1111,1713,29
bayam,322,1791,24
kentang,1319,2723,15
stroberi,1476,647,20
cabai,283,1799,24
bayam,664,1428,25
jambu air,492,1887,11
bayam,1223,1943,22
stroberi,1215,645,19
jambu air,121,1131,12
kentang,1381,2401,20
kentang,410,3041,21
stroberi,1443,622,20
bayam,1696,1799,27
kentang,419,3174,22
stroberi,1014,615,20
cabai,491,1653,18
bayam,1177,1306,30
jambu air,262,2188,19
bayam,1839,1281,23
jambu air,394,685,11
stroberi,1284,611,19
jambu air,200,1861,26
stroberi,1436,696,19
bayam,892,1383,27
bayam,1693,1723,22
kentang,2391,3461,16
bayam,1843,1573,23
kentang,2986,3260,16
kentang,2665,3066,20
stroberi,1308,655,17
kentang,1444,3364,22
bayam,1029,1241,30
cabai,1331,1543,20
bayam,824,1740,20
stroberi,1327,633,19
bayam,710,1177,20
jambu air,205,2305,21
stroberi,1184,695,20
jambu air,135,743,23
cabai,496,826,26
stroberi,1451,666,17
stroberi,1303,685,18
kentang,1291,2807,16
kentang,2665,3410,19
cabai,276,1404,27
bayam,1898,1183,23
bayam,1392,1023,28
bayam,1650,1583,29
jambu air,233,881,24
cabai,542,1380,20
bayam,1016,1153,20
stroberi,1214,616,17
bayam,104,1672,28
kentang,1817,2787,19
stroberi,1218,682,19
kentang,1682,3542,16
jambu air,196,969,19
stroberi,1212,658,17
stroberi,1431,647,19
cabai,6,1546,24
jambu air,148,1553,12
jambu air,378,1515,18
cabai,274,960,26
stroberi,1048,687,19
stroberi,1092,635,18
bayam,1836,1516,24
cabai,630,1354,29
jambu air,361,1484,23
bayam,1951,1355,22
cabai,575,1529,18
kentang,2137,2760,24
stroberi,1386,644,19
jambu air,389,1746,15
bayam,132,1176,26
jambu air,154,1352,20
kentang,1732,3395,24
jambu air,55,2132,27
cabai,555,966,18
bayam,474,1619,26
jambu air,248,621,26
bayam,652,1715,27
cabai,1044,1314,24
stroberi,1449,649,19
bayam,951,1447,24
bayam,1358,1172,27
kentang,452,2757,24
kentang,2775,3236,22
kentang,2485,3016,16
cabai,1002,1230,30
kentang,1702,3454,23
cabai,858,1160,29
stroberi,1126,632,17
jambu air,32,2100,24
kentang,1499,2617,15
stroberi,1095,657,17
stroberi,1418,699,19
jambu air,102,2460,19
jambu air,433,2191,21
cabai,921,1450,24
kentang,417,3060,19
kentang,1439,2724,22
jambu air,126,2124,25
stroberi,1077,673,20
kentang,1515,3584,19
cabai,1363,1841,26
stroberi,1357,650,19
jambu air,409,2464,10
jambu air,483,1985,25
cabai,983,1387,25
kentang,738,3341,14
kentang,319,3441,24
stroberi,1043,689,20
cabai,358,830,26
stroberi,1083,628,18
stroberi,1228,608,20
kentang,1458,3421,15
cabai,1121,1065,30
jambu air,413,2661,27
cabai,1118,1559,22
bayam,749,1742,27
cabai,1180,1544,30
jambu air,222,2837,26
bayam,1087,1418,22
cabai,745,865,28
jambu air,433,2257,11
stroberi,1168,614,20
kentang,2144,2722,24
stroberi,1298,604,17
jambu air,146,1123,23
jambu air,298,632,16
bayam,802,1782,29
jambu air,384,1941,20
stroberi,1220,611,19
bayam,897,1780,23
bayam,915,1679,27
bayam,1339,1647,30
jambu air,237,2254,20
jambu air,390,1554,14
stroberi,1315,631,20
stroberi,1205,661,20
stroberi,1321,629,17
kentang,323,3327,20
cabai,722,1206,29
stroberi,1429,622,18
jambu air,5,1487,16
stroberi,1183,631,17
stroberi,1455,689,17
jambu air,412,1229,11
stroberi,1353,652,17
cabai,1225,1243,27
bayam,1966,1887,24
kentang,1481,3116,14
stroberi,1418,665,19
cabai,1229,1375,25
kentang,1697,3001,19
stroberi,1388,665,17
stroberi,1203,607,18
stroberi,1377,654,18
stroberi,1159,682,19
bayam,1561,1836,20
cabai,618,941,21
cabai,310,1915,23
jambu air,390,1207,20
cabai,1356,1143,26
cabai,10,837,27
jambu air,187,1935,17
jambu air,193,2529,17
stroberi,1270,651,18
stroberi,1238,642,20
cabai,1157,975,24
jambu air,19,2789,26
stroberi,1249,674,17
stroberi,1341,685,18
cabai,1059,1506,22
jambu air,483,1757,28
cabai,125,847,23
bayam,1145,1192,23
kentang,2878,3293,13
jambu air,196,2694,14
stroberi,1111,674,20
stroberi,1176,631,18
bayam,1532,1376,25
cabai,968,1985,29
stroberi,1417,671,17
jambu air,220,1961,25
kentang,2203,2976,14
kentang,566,3366,14
cabai,787,1105,22
bayam,1563,1377,27
jambu air,477,944,28
jambu air,133,2446,12
kentang,2772,2889,15
bayam,1644,1578,29
cabai,1377,947,19
bayam,881,1178,28
kentang,2365,2825,22
cabai,403,1105,25
bayam,1212,1564,25
jambu air,248,1745,12
cabai,1140,1725,24
bayam,1136,1838,29
bayam,1267,1091,28
bayam,718,1018,24
cabai,977,1432,18
kentang,1043,3266,24
stroberi,1437,611,19
stroberi,1271,686,17
bayam,196,1988,26
jambu air,282,1193,23
stroberi,1166,631,17
jambu air,106,1768,22
cabai,838,899,24
bayam,205,1107,30
stroberi,1079,653,18
stroberi,1194,627,17
bayam,837,1192,28
kentang,1304,3085,19
kentang,645,3427,14
stroberi,1022,674,20
bayam,1272,1050,21
stroberi,1068,683,20
jambu air,398,841,23
stroberi,1450,625,20
cabai,503,1993,23
bayam,1780,1409,24
stroberi,1266,644,17
jambu air,55,1927,27
cabai,1172,1046,23
stroberi,1127,676,17
cabai,635,959,20
bayam,1630,1024,21
stroberi,1342,662,20
kentang,2129,3495,21
kentang,548,2956,19
stroberi,1084,700,17
cabai,222,1262,27
cabai,525,1866,22
jambu air,257,515,28
stroberi,1191,633,17
cabai,638,1578,18
cabai,1372,1830,20
stroberi,1226,619,20
bayam,1151,1087,21
jambu air,118,2907,26
kentang,2252,2603,23
kentang,2092,2766,22
stroberi,1244,674,20
bayam,1420,1930,29
kentang,578,3301,13
kentang,1029,2474,13
kentang,1580,2747,17
stroberi,1265,683,17
jambu air,147,1778,16
jambu air,464,1503,24
kentang,1496,2490,16
bayam,839,1069,20
jambu air,485,501,16
kentang,1978,2493,17
bayam,319,1303,23
jambu air,384,2631,27
stroberi,1455,676,17
stroberi,1068,635,17
jambu air,70,2704,23
bayam,887,1641,24
stroberi,1011,646,19
stroberi,1136,674,18
cabai,151,1708,23
kentang,2516,3488,13
kentang,1048,2750,24
jambu air,223,1659,14
stroberi,1192,638,17
cabai,1114,1264,26
cabai,130,1132,20
bayam,1178,1145,20
stroberi,1434,619,19
bayam,8,1274,21
bayam,842,1826,27
kentang,1534,3299,20
bayam,1558,1205,25
bayam,661,1192,30
jambu air,260,2637,27
cabai,1016,1706,28
jambu air,92,2892,28
kentang,834,3235,24
stroberi,1439,661,20
stroberi,1286,679,18
jambu air,300,2309,26
bayam,1275,1848,20
stroberi,1344,602,20
stroberi,1066,689,18
kentang,1101,3032,14
stroberi,1388,627,20
jambu air,358,1718,18
jambu air,420,1361,25
bayam,1654,1066,30
jambu air,335,2250,20
jambu air,37,2630,24
bayam,165,1140,25
stroberi,1136,600,19
kentang,2737,3446,14
cabai,1161,1086,25
stroberi,1225,617,20
bayam,899,1593,20
bayam,1389,1191,26
bayam,208,1909,25
kentang,2115,3538,15
kentang,2954,3193,22
jambu air,257,2305,27
cabai,1326,1735,25
bayam,1018,1813,30
jambu air,366,1446,26
bayam,29,1285,28
bayam,134,1199,26
kentang,1195,2595,22
bayam,405,1763,26
stroberi,1152,694,19
kentang,2368,3162,19
bayam,1013,1206,27
kentang,2177,2732,13
stroberi,1110,601,17
kentang,2977,3451,23
stroberi,1327,626,19
jambu air,248,997,18
stroberi,1436,631,20
jambu air,189,2768,28
bayam,1766,1394,22
cabai,1368,1384,30
kentang,2438,2775,19
stroberi,1456,637,18
cabai,614,1398,20
jambu air,231,1194,26
bayam,1417,1938,24
bayam,940,1832,27
cabai,239,958,20
bayam,1398,1591,28
bayam,278,1225,20
jambu air,99,2600,17
stroberi,1270,645,20
kentang,2211,3420,13
jambu air,147,2987,23
cabai,729,1330,27
bayam,367,1108,26
cabai,567,1037,28
bayam,807,1545,21
jambu air,262,677,25
bayam,1172,1286,28
stroberi,1287,647,19
cabai,8,1607,26
jambu air,207,1007,24
kentang,944,2488,15
stroberi,1153,675,19
cabai,562,1539,18
kentang,1289,2523,19
kentang,2399,3082,14
bayam,525,1925,28
kentang,545,3123,14
kentang,1665,3110,13
bayam,1572,1308,20
bayam,1926,1151,30
stroberi,1212,681,20
bayam,1515,1715,26
jambu air,21,2351,26
stroberi,1112,639,18
bayam,426,1332,25
bayam,1134,1493,29
jambu air,457,1557,20
stroberi,1418,601,20
stroberi,1382,602,17
bayam,1209,1572,30
stroberi,1434,686,17
jambu air,330,1004,24
cabai,1193,1685,23
jambu air,345,2117,14
kentang,2992,2981,22
bayam,528,1075,21
jambu air,127,1185,12
jambu air,7,2152,12
kentang,319,3196,19
stroberi,1153,611,17
bayam,732,1713,27
kentang,1198,3308,23
kentang,2542,2808,14
cabai,384,1265,19
kentang,2909,3207,21
bayam,1344,1819,26
jambu air,386,1072,15
kentang,331,3176,17
bayam,466,1555,24
kentang,2796,2793,21
jambu air,441,2831,11
bayam,1417,1868,24
stroberi,1127,696,20
cabai,258,1131,18
bayam,457,1555,20
bayam,884,1015,22
jambu air,105,1683,18
bayam,1707,1217,22
kentang,815,2592,18
stroberi,1065,646,19
bayam,1924,1856,20
kentang,2720,3216,24
cabai,437,1745,28
kentang,2240,3324,19
jambu air,22,558,11
bayam,1202,1360,30
jambu air,318,1580,14
bayam,915,1174,21
jambu air,82,2967,27
stroberi,1413,628,20
jambu air,340,2766,19
stroberi,1104,619,17
cabai,299,904,20
kentang,1180,2552,15
jambu air,190,2752,16
jambu air,260,934,22
cabai,872,1806,27
stroberi,1385,612,20
kentang,2227,3306,18
stroberi,1203,689,20
bayam,843,1258,28
bayam,261,1788,23
stroberi,1208,689,20
kentang,1575,3479,24
cabai,699,1562,24
bayam,641,1282,23
kentang,2495,3220,23
stroberi,1042,614,17
cabai,667,812,30
stroberi,1251,655,19
bayam,50,1823,27
kentang,442,3587,24
cabai,422,1047,19
jambu air,142,1454,26
bayam,1785,1479,30
stroberi,1223,636,18
stroberi,1396,606,19
jambu air,114,2949,11
cabai,388,1393,25
jambu air,442,1458,15
stroberi,1178,665,19
kentang,1089,2885,20
cabai,103,1664,30
jambu air,21,1245,12
cabai,764,1340,25
cabai,1166,1772,25
kentang,1077,3221,13
bayam,1454,1608,20
stroberi,1404,629,17
jambu air,226,2470,27
kentang,2648,3480,17
jambu air,132,1231,14
bayam,600,1301,29
cabai,317,906,26
kentang,1540,2870,18
jambu air,247,983,15
